 Word,Emotion,,,,
aggressive,anger,,,,
critical,anger,,,,
devastated,anger,,,,
distant,anger,,,,
embarrassed,anger,,,,
enraged,anger,,,,
frustrated,anger,,,,
furious,anger,,,,
hateful,anger,,,,
hostile,anger,,,,
hurt,anger,,,,
infuriated,anger,,,,
insecure,anger,,,,
irritated,anger,,,,
jealous,anger,,,,
mad,anger,,,,
provoked,anger,,,,
resentful,anger,,,,
sarcastic,anger,,,,
skeptical,anger,,,,
suspicious,anger,,,,
threatened,anger,,,,
violated,anger,,,,
withdrawn,anger,,,,
aversion,disgust,,,,
avoidance,disgust,,,,
awful,disgust,,,,
detestable,disgust,,,,
disappointed,disgust,,,,
disapproval,disgust,,,,
hesitant,disgust,,,,
judgmental,disgust,,,,
loathing,disgust,,,,
repugnant,disgust,,,,
revolted,disgust,,,,
revulsion,disgust,,,,
uneasy,disgust,,,,
alienated,fear,,,,
anxious,fear,,,,
disrespected,fear,,,,
frightened,fear,,,,
humiliated,fear,,,,
inadequate,fear,,,,
insecure,fear,,,,
overwhelmed,fear,,,,
rejected,fear,,,,
ridiculed,fear,,,,
scared,fear,,,,
submissive,fear,,,,
terrified,fear,,,,
worried,fear,,,,
accepted,happy,,,,
alive,happy,,,,
amused,happy,,,,
confident,happy,,,,
courageous,happy,,,,
estatic,happy,,,,
fulfilled,happy,,,,
good,happy,,,,
happiness,happy,,,,
happy,happy,,,,
hopeful,happy,,,,
important,happy,,,,
inquisitive,happy,,,,
inspired,happy,,,,
interested,happy,,,,
intimate,happy,,,,
joyful,happy,,,,
liberated,happy,,,,
loving,happy,,,,
open ,happy,,,,
optimistic,happy,,,,
peaceful,happy,,,,
playful,happy,,,,
powerful,happy,,,,
proud,happy,,,,
provocative,happy,,,,
respected,happy,,,,
sensitive,happy,,,,
abandoned,sad,,,,
apathetic,sad,,,,
ashamed,sad,,,,
bored,sad,,,,
depressed,sad,,,,
despair,sad,,,,
empty,sad,,,,
guilty,sad,,,,
ignored,sad,,,,
indifferent,sad,,,,
inferior,sad,,,,
isolated,sad,,,,
lonely,sad,,,,
powerless,sad,,,,
remorseful,sad,,,,
victimized,sad,,,,
vulnerable,sad,,,,
amazed,surprise,,,,
astonished,surprise,,,,
awe,surprise,,,,
confused,surprise,,,,
disillusioned,surprise,,,,
dismayed,surprise,,,,
eager,surprise,,,,
energetic,surprise,,,,
excited,surprise,,,,
perplexed,surprise,,,,
shocked,surprise,,,,
startled,surprise,,,,
